"name","daily","weekly","monthly","yearly","1_year","3_year"
"Mtu Aero Engines Holding AG","0","0","5.48","-0.65","61.22","37.85"
"KB Financial","0","0","9.4","22.99","64.83","1.39"
"Aeroports Paris","0","0","0","-3.12","19.13","-43.17"
"Shinhan","0","0","9.73","5.66","5.66","-13.35"
"Steel Dynamics","0","-3.29","21.58","56.38","117.25","33.68"
"RH","0","-0.71","2.87","38.52","232.63","517.77"
"ABIOMED","1.05","2.27","-14.88","-10.18","18.75",
"Grifols Pref","0","0","1.73","-0.85","-22.97","-19.01"
"Allegion PLC","0","0","0","22.47","15.28","78.9"
"Gap","1.25","-7.8","-4.27","62.5","289.22","3.43"
"Newell Brands","0","0","0","0","3.25","-26.83"
"Autohome ADR","0","0","0","-3.32","21.93","-6.68"
"Teva ADR","0","0","-2.86","7.37","-25.21","-51.22"
"SID Nacional ADR","-2.52","-11.76","2.87","47.57","452.19","272.13"
"Lear","0","0","0","0","12.36","-30.59"
"Bausch Health","5.08","9.87","3.68","49.76","61.04","40.93"
"IPG Photonics","0","4.35","-11.09","-6.19","50.11","-17.66"
"Credicorp","0","0","5.49","5.49","-9.44","-33.98"
"Kingfisher","0","0","85.89","37.96","114.7","29.32"
"Norwegian Cruise Line","0.24","1.35","-2.67","13.69","80.59","-45.4"
"Accor","0","-3.68","-3.68","25.52","39.61","-28.56"
"Western Union","0","0","0","6.82","9.92","39.81"
"Empresas Cablevision","0","0","0","0","0","-13.39"
"Commerzbank","0","0","0","0","0","-23.51"
"Siemens","0","-6.05","-3.8","15.39","38.38","21.01"
"AGNC Invest","0","2.78","2.78","16.72","14.2","-0.16"
"Arca Continental","0.32","0.13","-2.33","13.93","15.49","-5.66"
"Weibo Corp","0","0","0","9.88","19.11","-50.3"
"Fresnillo","-2.33","-8.08","-9.59","-21.87","16.91","-32.25"
"Marathon Oil","0","-3.01","10.45","66.18","62.36","-46.34"
"Cleveland-Cliffs","-2.68","-5.41","0.57","23.6","245.21","117.37"
"Bimbo","-1.79","2.59","-4.8","-7.45","12.61","0.98"
"Flex","0","0","-4.72","-3.65","50.17","2.94"
"Ubisoft Entertainment SA","0","7.13","-8.8","-32.01","-11.59","-29.71"
"Becle","0.19","0.84","-0.37","-4.1","34.18","50.27"
"Crispr Therapeutics","-1.17","9.64","-11.41","-22.58",,
"VAT Group","0","0","0","34.98","44.11",
"Kohls Corp","0","-7.33","-9.66","32.39","166.75","-10.36"
"J Sainsbury","0","9.04","9.04","27.34","22.29","26.08"
"Under Armour A","0.05","0.05","-5.29","26.16","126.43","8.67"
"Lamercial","-1.59","1.96","-3.83","-16.44","47.26","98.22"
"First Solar","-0.79","5.21","-13.43","-23.52","49.26","13.23"
"Berkeley","0","0","0","6.18","9.3","67.5"
"Santander Mexico B","0.82","1.13","3.23","14.97","72.71","-12.81"
"Polaris Industries","0","0","0","45.82","88.31","24.28"
"APA Corp","0","5.32","18.25","50.96","55.37","-49.14"
"YY A","0","0","-13.05","16","39.36","-0.13"
"Cabot Oil&Gas","0","0","6.25","0.15","-21.29","-23.76"
"Grupo Televisa Unit","-0.57","0.14","-0.53","54.22","102.45","-27.64"
"Alcoa","-1.18","-7.43","2.92","55.94","285.26","-24.17"
"Weir Group","0","0","0","66.68","87.63","-5.16"
"GMexico Transportes","0.63","1.34","3.32","11.97","45.22","18.63"
"Timken","0","-0.72","10.01","15.96","83.51","108.43"
"Grupo Carso A1","-1.98","-0.95","-8.09","-13.97","19.95","-6.33"
"Topbuild Corp","0","0","13.6","13.6","113.06","213.79"
"United States Steel","-0.08","-5.46","1.95","42.18","190.38","-30.68"
"Megacable Cpo","2.75","-0.15","-6.16","1.66","10.38","-17.01"
"Nov","0","-5.02","-5.02","20.36","7.46","-61"
"Grupo Financiero Inbursa","0.26","0.83","-1.12","-3.34","34.65","-32.44"
"IENOVA","3.88","-3.64","-0.21","8.92","41.08","3.16"
"JetBlue","0","0","-8.49","18.5","68.05","0.88"
"Colgate-Palmolive","1.38","1.38","4.44","-0.24","4.01","39.03"
"Evercore","0","-0.48","4.64","70.82","85.47","133.17"
"Grupo Aeroportuario del Pacifico B","2.16","1.96","2.44","-4.73","-0.95","16.1"
"Procter&Gamble","-0.49","0.74","2.35","-0.63","4.28","87.99"
"El Puerto de Liverpool C","0.76","7.77","9.53","25.44","67.79","-23.24"
"Asur  B","0.99","10.31","21.36","18.9","20.48","17.34"
"El Puerto de Liverpool","4.82","8.33","13.65","16.78","31.88","-30.4"
"IDEAL B1","0","0","0","-2.5","11.43","25.81"
"Peñoles","-0.57","-5.57","-6.39","-14.74","61.83","-30.7"
"Orbia Advance","-0.79","-0.98","0.93","20.58","87.65","-0.83"
"Macy’s Inc","1.54","0.88","7.08","62.31","202.53","-41.45"
"Chemours Co","0","-0.41","13.72","21.54","111.71","-37.08"
"Gerdau ADR","0","-0.29","12.86","37.08","175.02","41.34"
"Axtel Cpo","0.18","1.31","-3.04","-12.84","79.8","25.4"
"Kimberly-Clark de Mexico A","-1.09","0.71","-5.88","4.15","6.69","7"
"Kimberly-Clark de Mexico B","0","0","2.96","2.96","-7.23","-6.59"
"Nomad Foods","0","11.11","11.11","7.45","30.11","133.58"
"TIM Participacoes","0","0","0","0","-4.15","-26.49"
"Meggitt","0","0","0","39.35","60.36","-9.86"
"Sabesp ADR","0","0","0","-36.61","-6.99","5.27"
"Spectris","0","0","0","0","11.93","6.37"
"Virgin Galactic Holdings","23.03","30.94","-2.93","-9.56","20.18",
"Gruma SAB de CV","1.69","-0.85","1.32","-3.76","20.61","3.8"
"MGIC Investment","0","0","0","-1.2","3.34","23.12"
"BlackBerry","-0.56","9.51","-1.23","30.75","64.79","-23.94"
"Fibra Uno Administracion SA de CV","0.89","-1.33","3.36","5.16","-20.04","-11.37"
"China Biologic","0","0","0","0","0","0"
"Goodyear Tire & Rubber Co","0","3.29","10.09","87.35","134.68","-24.45"
"Telesites SAB de CV","-0.37","0.32","-6.4","-13.01","29.37","28.84"
"KB Home","0","0","10.49","54.32","49.32","87.57"
"Braskem A","-4.08","-14.45","75.42","123.94","95.38","-25.21"
"Turkcell Iletisim Hizmetleri","0","0","0","6.48","-1.47",
"BRF ADR","0","0","-19.19","-9.25","-16.67","-41.66"
"Elis Services SA","0","0","0","7.1","51.32","-31.21"
"Companhia Brasileira de Distribuicao","-2.34","-4.99","-3.48","-49.2","-68.5","-69.88"
"Ultrapar Participacoes","0","0","0","0","0","-20.81"
"Acerinox","0","1.17","1.17","1.17","1.17","-41.5"
"Whirlpool","0","0","6.04","34.31","75.53","58.91"
"Range Resources","0","0","0","0","0","-54.4"
"Cie Automotive SA","0","0","0","7.03","52.06","-23.15"
"CEMIG Pref ADR","0","-1.25","0","-17.98","-31.82","11.11"
"Fonciere Lyonnais","0","-22.09","0","0","0","0"
"Alfa A","0.58","0.79","0.5","-2.64","19.86","-34.52"
"Simec B","0","2.92","44.05","75.46","183.02","120.48"
"COPEL Pref ADR","0","-80","-82.29","-80.43","-80.43","-83.6"
"Swatch Group","0","0","0","22.68","40.15","-37.74"
"3D Systems","9.33","23.06","22.45","168.05","205.93","105.11"
"Kansas City Southern","0","0","0","41.36","64.63","167.46"
"PINFRA","1.05","-1.73","-0.12","-12.38","-19.91","-20.73"
"Viscofan","0","0","0","0","66.68","15.89"
"Pfizer","0.12","0.05","3.84","8.88","-5.76","13.86"
"Ternium ADR","2.9","-2.12","-0.36","32.6","139.33","-0.01"
"Baozun Inc","0","19.06","-0.14","1.92","4.13","-27.59"
"Trinity Industries","0","1.6","1.6","3.19","28.25","-21.24"
"Industrias Ch B","0.08","0.98","7.67","47.63","81.42","55.25"
"Buenaventura Mining ADR","0","0","0","-22.27","22.63","-16.92"
"Mednax","0","0","0","19.09","162.2","-46.73"
"Moctezuma","0.02","-0.75","-2.04","4.36","16.83","-14.55"
"SINA Corp","0","0","0","9.14","5.99","-49.97"
"Bed Bath&Beyond","1.05","1.05","-10.07","25.59","216.72","32.51"
"Fluor","-2.15","-24.45","-15.74","-1.76","47.17","-67.64"
"Alpek SAB de CV","-2.12","5.36","6.4","36.57","61.95","-18.83"
"Qualitas Controladora","-0.55","1.1","-2.2","1.59","19.64","112.5"
"OMA B","-2.59","-4.87","-7.66","-3.36","38.95","25.65"
"Opko Health","0","3.29","-18.34","-12.2","21.21","-24.16"
"Grupo Cementos","-1.17","1.77","3.37","21.42","104.33","34.59"
"Transocean","0.69","-5.61","19.86","64.87","118.55","-71.93"
"ODP","0","0","-0.82","53.71","54.55","1923.81"
"Industrias Bachoco","-0.9","0.97","3.08","2.85","15.55","-18.1"
"Embraer ADR","0","4.97","10.21","86.53","120.45","-49.59"
"Promotora y Operadora de Infraestr","-0.97","0","-4.61","-4.32","-8.79","-18.11"
"Grupo Sanborns SAB de CV","-0.4","-2.23","5.91","2.28","-14.35","-3.34"
"Genworth","0","0","9.88","19.09","19.09","72.67"
"Controladora Vuela","-0.53","0.36","12.4","45.26","237.84","245.3"
"Vodafone Group ADR","1.11","-5.19","-4.99","11.28","11.28","-31.07"
"Grupo Nagoin","0.88","1.8","10.97","10.97","18.89",
"Stabilus","0","0","0","0","0","-42.23"
"FibroGen Inc","0","-3.98","-0.88","-47.06","-52.32","-60.37"
"Banco del Bajio","1.09","5.25","3.55","19.76","59.37","-12.62"
"Prologis Property Mexico","-0.89","3.37","2.36","0.27","10.6","26.37"
"Grupo LALA SA de CV","-0.61","1.39","1.25","-5.98","19.25","-33.18"
"Aleatica","0","-0.67","-5.23","-14.9","11.5","-24.57"
"Concentradora Fibra Danhos","0.17","0.42","-4.37","-0.99","26.54","-18.86"
"Air Transport Services","0","0","0","-9.27","14.69","29.62"
"Gol Linhas Aereas ADR","0","14.04","29.14","6.56","-34.01","24.12"
"Banregio Grupo Financiero O","1.64","5.37","4.05","15.91","78.63","-4.11"
"Silicon Motion","0","0","3.31","35.56","10.33","34.12"
"Soriana B","0.98","-0.38","-4.56","-8.26","1.38","-45.33"
"Rassini SAB de CV","0","0","0","0","0","14.65"
"Fragua B","0.96","-4.09","18.58","21.02","48.23","40.07"
"GoPro Inc","0","0","-8.95","15.41","102.28","85.33"
"Grupo Comercial Chedraui B","-0.78","-1.34","1.08","10.22","16.97","-18.66"
"Oi ADR Pref","0","0","-64.19","-64.19","-64.19","-64.19"
"Infraestructura Viable","0","-100","-100","-100","-100",
"BASF","0","0","0","36.53","46.45","-12.64"
"Bolsa Mexicana de Valores A","-0.88","1.06","1.03","-4.56","6.66","40.7"
"Alsea","-2.84","-1.87","-11.83","21.78","70.62","-54.63"
"Grupo Nacional Provincial","0","4.64","0","-7.26","153.86","219.44"
"Transportadora Gas ADR","0","0","-13.48","-22.78","-26","-75.26"
"Minera Frisco","1.44","1.92","-4.5","4.7","50.9","-41.6"
"Gigante","0","0","-0.51","-2.33","2.86","-29.61"
"FIBRA Terrafina","0.03","1.88","2.28","0.81","18.37","3.27"
"Cibanco","0.64","-1.12","0.18","2.7","41.11",
"Now Inc","0","-4.23","16.22","53.57","-21.82","1.42"
"Corporacion Inmobiliaria Vesta SAB","-0.18","-0.4","1.33","2.09","31.87","49.43"
"KUO A","0","0","0","-2.88","-0.98","19.53"
"Grupo Palacio 1","0","0","0","0","0","1.4"
"Genomma Lab B","0.24","-1.78","0","11.41","5.37","5.37"
"JinkoSolar","0","8.64","-12.41","-44.8","94.28","75.91"
"Nemak SAB de CV","-0.15","9.09","9.27","15.86","60.77","-50.91"
"KUO B","0","-0.21","-2.29","-1.66","-1.9","17.58"
"Hertz Global Holdings","0","0","0","0","-41.53","-88.6"
"Grupo Profuturo","-0.1","-1.57","-0.14","26.84","68.05","-14.94"
"Grupo Traxion","0.33","4.89","11.18","105.87","229.65","174.12"
"Gentera SAB de CV","0.09","5.7","13.01","14.29","14.64","-24.25"
"Herdez","-1.73","1.59","6.01","-13.25","36.49","10.41"
"Lamosa","0","5.66","15.48","29.71","94.16","25"
"Rotoplas SA de CV","0.03","4.42","-0.14","28.81","198.69","42.89"
"GBM O","0.49","-1.33","7.03","7.81","17.27","-16.64"
"Macquarie Mexico Real Estate","-0.96","-0.74","-5.4","-19.18","2.8","16.36"
"Bio Pappel SAB DE CV","1.12","3.55","10.75","20.81","309.24","251.67"
"Rassini SAB de CV A","0","0","0","0","0","9.85"
"RLH Properties","0","0.29","-1.75","-7.77","-4.7",
"Tec. Reunidas","0","0","0","0","-48.6","-63.29"
"Elementia SA de CV","-0.36","2.56","3.7","0","119.09","4.32"
"Controladora Nemak","-0.64","7.61","7.24","18.7",,
"Heidelbergcement","0","0","0","18.4","59.86","-5.51"
"Value GF","1.61","1.3","-12.59","-28.88","-31.3","-28.18"
"DIA","0","99.14","99.14","99.14","99.14","-92.53"
"Vitro A","2.43","-3.44","-5.98","-17.92","-30.93","-60.89"
"Bafar B","0","-1.26","0","-1.28","-3.75","0.49"
"Fibra MtyPI","-0.09","-0.77","1.75","0.61","13.01","-2.53"
"Unifin Financiera SAPI de CV SOFOM","-3.99","-2.34","-2.65","-11.34","-19.2","-62.39"
"Invex Control A","0","0","0","0","-8.11","-2.86"
"Grupo Posadas A","0","0.09","0.09","3.52","-7.35","-33.18"
"Dine A","0","0.31","0.31","6.67","68.42","45.45"
"McEwen Mining Inc","0","0","24.59","34","19.11","-35.89"
"Dine B","0","3.45","0","7.14","57.89","44.93"
"Grupo Industrial Saltillo SAB de CV","1.12","1.75","1.75","2.87","64.69","-0.07"
"Cultiba SAB","0.25","0.34","-5.44","-32.75","17.48","-11.05"
"Allianz","0","3.03","4.6","14.33","36.66","22.59"
"Concentradora HipotecariaPI","-1.39","1","3.17","-0.59","29.28","28.7"
"Cydsa A","-0.45","-2.22","-9.47","-36.54","-35.58","-55.85"
"Internacional  Ceramica B","0","-4.26","0","7.14","21.62","-11.76"
"Consorcio Aristos","0","0","0","0",,
"Consorcio Ara","1.12","-4.4","15.78","42.15","112.11","-16.2"
"Proyectos Inmobiliarios Carne Mart","0","-2.44","-6.32","8.11","7.77",
"Holding Monex SAB de CV","3","3","3","1.9","-6.65","-21.77"
"Proteak Uno SAB de CV","0.9","8.32","2.38","33.97","-6.67","-64.44"
"Vinte Viviendas Integrales","0","0","0.04","0.04","1.1","11.32"
"Planigrupo Latam","0","0","0","-8.11","-8.11","-8.11"
"Farmacias Benavides B","0","0","-4.76","-17.65","-17.65","-17.65"
"Grupo Financiero Multiva","0","0","0","-5.2","-34.96","-35.46"
"Actinver B","-0.48","-0.95","8.33","5.05","9.47","-20"
"Vista Oil Gas","8.12","17.13","19.34","19.34","-20.94","-64.66"
"CIE B","0","0","11.24","1.08","49.21","-49.73"
"Grupo Gicsa SA de CV","0.59","1.2","-5.32","-27.47","-47.76","-68.05"
"Minsa B","0","0","-14.22","-12.6","-7.69","-9.09"
"Pena VerdeB","0","0","0","0","0","0.39"
"Tv Azteca Cpo","1.15","1.75","5.22","21.58","37.17","-80.59"
"Servicios Corporativos Javer","0","0","0","0","0","-3.06"
"Concentradora Fibra Hotelera Mexicana","-0.34","3.33","-1.5","36.89","54.05","-46.29"
"Minera Autlan B","0.47","-1.15","-4.03","21.23","86.23","-31.39"
"Medica SUR B","4.76","0.09","3.12","-1.79","116.39","-16.88"
"Aeromexico","0.72","-1.76","-5.42","-26.09","-17.94","-77.4"
"Fibra Shop Portafolios InmobiliariosPI","-0.28","0","1","-7.46","4.9","-21.53"
"Accel B","0","0","0","0","3.15","73.08"
"Fibra Plus","5.14","-4.76","-11.24","-15.49","-27.65","-29.13"
"Grupo Hotelero Santa Fe SAB de CV","-1.01","-0.81","-1.01","17.51","22.81","-53.69"
"Grupo Mexicano de Desarrollo (GMD)","0","0","-3.64","-8.62","1.27","-29.3"
"Credito Real SAPI","-0.83","-6.23","-26.63","-41.87","-41.68","-69.95"
"Grupe SAB de CV","0","0.13","0.13","1","-7.09","-19.16"
"Financiera Independencia","0","-3.33","-3.33","-1.36","-11.04","39.42"
"Grupo Vasconia","3.9","3.7","12","11.96","11.96","12.45"
"Hoteles City Express SAB de CV","-0.78","-2.32","-14.59","15.54","10.68","-74.92"
"Finamex O","0","0","0","0","2.29","-18.64"
"FIBRA HD","0","1.79","-1.73","-17.28","-5.47","-53.24"
"Pasa B","0","15.24","15.24","0.41","-21.17","-49.67"
"Collado SA","0","0","-5.8","-5.8","-5.8","12.11"
"Administradora de Activos Fibra","-4.64","-11.71","-24.26","-23.7","-39.05","-72.25"
"Almaden Minerals","0","9.33","-1","16.08","9","-30.57"
"Air Liquide","0","0","-0.2","1.39","16.3","33.73"
"Cadu Inmobiliaria SA de CV","2.48","0.61","-4.9","-35.92","-37.74","-78.85"
"Mexicana Rest B","0","-0.99","-8.22","-13.73","-14.68","-57.68"
"Grupo Radio Centro A","0","0","0","-3.49","-29.61","-72.38"
"UTStarcom","0","2.43","-6.23","-7.96","-42.03","-73.59"
"Empresas ICA","0","0","0","0","0","0"
"Pochteca B","0","-0.16","-3.03","1.67","-6.31","-26.63"
"Grupo Sports","-1.33","-6.13","-17.56","-24.27","-64.18","-71.41"
"Tmm A","0.54","1.91","11.34","-6.52","-29.62","-1.06"
"Procorp SA B","0","0","0","-17.78","-17.78","-17.78"
"Diamond Offshore Drilling","0","0","0","0","0","-94.64"
"Convertidora Industrial SAB De CV","0","0","0","-7.89","-7.89","-14.63"
"Maxcom Telecom","-0.84","-1.05","-1.05","-11.32","-46.29","-86.22"
"Grupo Famsa A","-4.12","-6.06","-18.13","45.31","-76.52","-96.19"
"Desarrolladora Homex","0","-4","-17.24","-41.46","-53.85","-85"
"Goldgroup Mining Inc","0","-5.48","-1.43","21.05","35.29","-15.85"
"Sare Holding B","0","0","0","0","0","-79.07"
"Urbi Desarrollos Urbanos","0","-9.42","-29.68","-50","426.32","-9.65"
"Edoardos Martin B","0","0","0","0","0","0"
"Himexsa","0","0","0","0","0","0"
"Dinamico De Inversiones Bursatiles","0","0","0","0","11.61","6.44"
"Gbm Fondo Personas Morales Exentas","0.01","0.04","0.21","1.14","3.95","19.56"
"Gbm Inversiones Bursatiles Sa De","0.06","-0.23","0.66","-6.31","3.41","-18.81"
"Santander De Deuda Prevision Social","0","0","0","0","0","6.14"
"Vector Fondo Md Siid B","0","0","0","0","0","5.85"
"Bbva Bancomer Deuda Empresas Sa CV","0","0","0","0","0","5.18"
"Interacciones Pm 1 Sa De Cv Siid B","0","0","0","0","0","-0.01"
"Interacciones 1 Sa De Cv Siid B5","0","0","0","0","0","12.46"
"Valmex Corporativo Sa De Cv B1Nc","0","0","0","0","0","7.22"
"Upsite Mexico","0","0","0","-3.92",,
"Gafisa ADR","0","0","0","0","0","-72.65"
"Hsbc V3 Sa De Cv Sirv Bfp","0","0","0","0","0","-0.98"
"Inburex Sa De Cv Siid B","0","0","0","0","2.67","19.42"
"Santander De Deuda Gubernamental Sa","0","0","0","0","0.99","7.75"
"Valorum Tres Sa De Cv B","0","0","0","0","0","6.19"
"Value Monterrey Sa De Cv Sirv B","0.14","-0.74","-11.44","-37.05","-64.89","-65.16"
"Dinero Inbursa Sa De Cv B","0.01","0.04","0.17","0.85","2.29","15.45"
"Nikola","-4.19","0.21","6.56","-19.64",,
"Valmex De Rendimiento Sa De Cv Sirv","0","0","0","0","0","-3.91"
"Afirplus Sa De Cv Siid B","0.01","0.03","0.16","0.8","2.09","14.69"
"Latin 3 Sa De Cv C","0","0","0","0","0","5.68"
"Bbva Bancomer Indizado Sa Cv P","0.53","1.06","-0.83","4.93","37.25","6.33"
"Santander Plus De Corto Plazo Sa","0","0","0","0","0","5.79"
"Afircor Sa De Cv Sirv B","0.18","-0.13","1.56","16.17","17.53","31.31"
"Latin 5 Sa De Cv B","0","0","0","0","0","5.29"
"Gbm Valores De Deuda Sa De Cv Siid","0.01","0.02","0.12","0.78","2.7","15.93"
"Jumia Tech","0.97","19.25","-8.64","-34.91",,
"Fastly","3.09","5.85","-34.17","-48.65",,
"Peloton Interactive","2.99","6.47","1.19","-32.53","95.58",
