"name","symbol","close","var","capmarket","vol"
"Apple","AAPL","2.49K","-1.86%","41.65T","18.72K"
"Microsoft","MSFT","4.84K","-1.81%","36.52T","10.85K"
"Amazon.com","AMZN","64.65K","1.09%","32.61T","1.05K"
"Alphabet A","GOOGL","45.25K","0.21%","30.77T","331.00"
"Alphabet C","GOOG","45.86K","-0.22%","30.77T","197.00"
"Facebook","FB","6.24K","-0.62%","17.69T","6.15K"
"Alibaba ADR","BABAN","4.17K","0.03%","15.72T","25.33K"
"Tencent ADR","TCEHYN","1.57K","3.78%","14.67T","3.75K"
"Berkshire Hathaway B","BRKB","5.73K","-2.37%","13.12T","805.00"
"Tesla","TSLA","11.36K","-2.89%","10.99T","45.00K"
"Taiwan Semiconductor","TSMN","2.17K","-3.47%","10.01T","2.38K"
"JPMorgan","JPM","3.26K","0.14%","9.86T","1.27K"
"J&J","JNJ","3.38K","-0.12%","8.88T","922.00"
"Visa A","V","4.49K","-0.36%","8.87T","3.01K"
"Walmart","WMT","2.75K","-0.74%","7.73T","267.00"
"UnitedHealth","UNH","8.09K","-0.62%","7.63T","496.00"
"Louis Vuitton","MCN","15.21K","0.00%","7.56T","0.00"
"Bank of America","BAC","847.52","-0.24%","7.24T","4.63K"
"Mastercard","MA","7.18K","-0.51%","7.12T","787.00"
"NVIDIA","NVDA","11.16K","-1.50%","6.97T","2.56K"
"Samsung Electronics DRC","SMSNN","35.28K","0.00%","6.81T","0.00"
"Home Depot","HD","6.34K","-0.96%","6.81T","1.39K"
"Nestlé","NESNN","2.46K","0.00%","6.76T","0.00"
"Roche Holding Participation","ROGN","6.66K","0.00%","6.16T","0.00"
"Walt Disney","DIS","3.37K","-2.45%","6.11T","8.82K"
"PayPal Holdings Inc","PYPL","4.81K","-1.88%","5.68T","4.04K"
"Exxon Mobil","XOM","1.23K","2.24%","5.21T","420.00"
"ASML Holding","ASMLN","13.18K","0.00%","5.19T","0.00"
"Comcast","CMCSA","1.10K","-4.67%","5.04T","10.09K"
"L'Oréal","ORN","8.44K","0.00%","4.78T","0.00"
"Verizon","VZ","1.16K","-0.72%","4.74T","373.00"
"Coca-Cola","KO","1.08K","-0.84%","4.66T","502.00"
"Unilever ADR","ULN","1.20K","0.00%","4.65T","0.00"
"JD.com Inc Adr","JDN","1.35K","-1.89%","4.62T","4.26K"
"Adobe","ADBE","9.45K","-2.12%","4.56T","147.00"
"Oracle","ORCL","1.58K","1.22%","4.51T","472.00"
"AT&T","T","620.73","-3.13%","4.43T","12.86K"
"Cisco","CSCO","1.05K","-0.14%","4.42T","52.00"
"Intel","INTC","1.09K","-1.58%","4.42T","3.36K"
"Netflix","NFLX","9.65K","-0.97%","4.29T","881.00"
"Nike","NKE","2.70K","-0.17%","4.26T","2.93K"
"Chevron","CVX","2.20K","1.01%","4.22T","452.00"
"Abbott Labs","ABT","2.36K","0.00%","4.10T","0.00"
"AbbVie","ABBV","2.32K","-0.13%","4.08T","61.00"
"Merck&Co","MRK","1.58K","1.39%","4.00T","3.06K"
"PepsiCo","PEP","2.93K","0.00%","3.99T","0.00"
"Novartis ADR","NVSN","1.75K","0.00%","3.94T","0.00"
"Wells Fargo&Co","WFC","948.45","1.60%","3.92T","7.35K"
"Salesforce.com","CRM","4.26K","-1.04%","3.92T","475.00"
"BHP Billiton Ltd ADR","BHPN","1.44K","0.00%","3.85T","0.00"
"Accenture","ACNN","5.74K","0.00%","3.78T","0.00"
"United Parcel Service","UPS","4.22K","-0.60%","3.72T","6.00"
"Eli Lilly","LLY","3.85K","-1.63%","3.71T","24.00"
"Novo Nordisk ADR","NVON","1.59K","4.64%","3.62T","1.02K"
"Broadcom","AVGO","8.48K","0.00%","3.55T","0.00"
"Danaher","DHR","4.97K","-2.43%","3.54T","950.00"
"Thermo Fisher Scientific","TMO","9.15K","0.00%","3.52T","0.00"
"McDonald’s","MCD","4.62K","0.00%","3.42T","0.00"
"Costco","COST","7.60K","-0.22%","3.36T","1.04K"
"Medtronic","MDTN","2.63K","0.00%","3.35T","0.00"
"Texas Instruments","TXN","3.57K","-2.74%","3.30T","51.00"
"SAP ADR","SAPN","2.76K","0.00%","3.25T","0.00"
"Morgan Stanley","MS","1.73K","0.24%","3.24T","3.46K"
"Citigroup","C","1.52K","0.44%","3.20T","1.77K"
"Royal Dutch Shell ADR","RDSA","804.55","0.07%","3.14T","803.00"
"Royal Dutch Shell B ADR","RDSB","765.50","0.72%","3.14T","518.00"
"Honeywell","HON","4.47K","-0.07%","3.11T","912.00"
"China Life Insurance ADR","LFCN","202.82","0.00%","3.00T","0.00"
"Union Pacific","UNP","4.44K","-1.94%","2.95T","3.10K"
"Anheuser Busch Inbev","ANB","1.50K","0.00%","2.94T","0.00"
"Fomento Economico Mexicano UBD","FEMSAUBD","162.62","-0.88%","2.91T","1.97M"
"AstraZeneca ADR","AZNN","1.10K","0.18%","2.90T","5.35K"
"Qualcomm","QCOM","2.56K","-1.82%","2.90T","412.00"
"Bristol-Myers Squibb","BMY","1.27K","-1.43%","2.89T","12.00"
"Amgen","AMGN","5.09K","0.00%","2.87T","0.00"
"Rio Tinto ADR","RION","1.74K","0.00%","2.84T","0.00"
"The Charles Schwab","SCHW","1.45K","-0.73%","2.84T","1.45K"
"Shopify Inc","SHOPN","21.60K","-0.46%","2.70T","15.00"
"Caterpillar","CAT","4.85K","0.01%","2.65T","872.00"
"Boeing","BA","4.50K","-0.71%","2.64T","4.79K"
"Sanofi ADR","SNYN","1.04K","0.00%","2.64T","0.00"
"PetroChina ADR","PTRN","832.00","0.00%","2.62T","0.00"
"Raytheon Technologies","RTX","1.69K","0.82%","2.59T","49.00"
"Starbucks","SBUX","2.19K","-0.72%","2.59T","3.62K"
"Volkswagen VZO","VOW3N","4.99K","0.00%","2.57T","0.00"
"IBM","IBM","2.88K","0.19%","2.56T","516.00"
"BlackRock","BLK","16.84K","-1.27%","2.56T","1.95K"
"Fomento Economico Mexicano UBD","FEMSAUBD","143.14","-0.09%","2.55T","6.16M"
"China Mobile ADR","CHLN","545.00","0.00%","2.54T","0.00"
"HSBC ADR","HBCN","633.00","0.00%","2.53T","0.00"
"Total ADR","TOTN","940.00","0.00%","2.52T","0.00"
"American Express","AXP","3.12K","0.00%","2.49T","0.00"
"Goldman Sachs","GS","7.25K","-0.84%","2.48T","18.00"
"Inditex","ITXN","756.93","0.00%","2.42T","0.00"
"3M","MMM","4.00K","0.00%","2.35T","0.00"
"General Electric","GE","260.00","-1.46%","2.28T","1.46K"
"Intuit","INTU","8.27K","-0.91%","2.27T","8.47K"
"CVS Health Corp","CVS","1.65K","-1.47%","2.20T","1.05K"
"Diageo ADR","DEON","3.70K","0.00%","2.20T","0.00"
"Vale ADR","VALEN","425.50","1.79%","2.18T","127.00"
"Lockheed Martin","LMT","7.76K","-0.16%","2.15T","63.00"
"Coca Cola Femsa UB","FEMSAUB","119.00","0.00%","2.13T","0.00"
"Estee Lauder","EL","5.87K","-0.55%","2.13T","871.00"
"Kering","KERN","16.88K","0.00%","2.12T","0.00"
"Target","TGT","4.16K","-0.74%","2.07T","860.00"
"Enel","ENELN","201.87","0.00%","1.99T","0.00"
"Deutsche Tel.","DTEN","379.35","0.00%","1.97T","0.00"
"GlaxoSmithKline ADR","GSKN","774.00","0.00%","1.94T","0.00"
"Daimler","DAIN","1.65K","0.00%","1.91T","0.00"
"Anthem","ANTM","7.82K","3.71%","1.91T","371.00"
"Stryker","SYK","4.96K","0.00%","1.88T","0.00"
"Nippon Telegraph & Telephone Corp","NTT1N","526.81","0.00%","1.87T","0.00"
"Altria","MO","1000.00","0.01%","1.84T","15.00"
"Fidelity National Info","FIS","2.99K","0.00%","1.83T","0.00"
"U.S. Bancorp","USB","1.24K","0.39%","1.83T","1.97K"
"Booking","BKNG","44.03K","-4.97%","1.81T","55.00"
"Cigna","CI","5.25K","0.00%","1.80T","0.00"
"AMD","AMD","1.48K","-0.55%","1.79T","4.04K"
"S&P Global","SPGI","7.41K","-2.29%","1.79T","1.24K"
"BP ADR","BPN","529.75","0.00%","1.79T","0.00"
"Micron","MU","1.59K","0.51%","1.78T","19.34K"
"Uber Tech","UBER","935.67","-0.94%","1.76T","375.77K"
"Mondelez","MDLZ","1.24K","-0.90%","1.74T","199.00"
"TJX","TJX","1.43K","0.00%","1.72T","0.00"
"BNP Paribas","BNPN","1.33K","0.00%","1.71T","0.00"
"Gilead","GILD","1.38K","0.16%","1.71T","1.73K"
"Xiaomi","1810N","73.99","-3.80%","1.68T","303.00"
"Prologis","PLD","2.28K","0.00%","1.67T","0.00"
"Iberdrola","IBEN","266.16","0.00%","1.67T","0.00"
"China Petrol & Chemical ADR","SNPN","1.05K","0.58%","1.64T","131.00"
"Coca Cola Femsa L","KOFUBL","96.71","-0.47%","1.63T","612.80K"
"FedEx","FDX","6.12K","-0.54%","1.62T","557.00"
"General Motors","GM","1.11K","0.39%","1.61T","4.79K"
"Bank of Nova Scotia","BNS","1.24K","0.00%","1.59T","0.00"
"Airbnb","ABNB","2.62K","-6.09%","1.59T","3.05K"
"ConocoPhillips","COP","1.15K","3.46%","1.56T","3.83K"
"NetEase","NTESN","2.04K","0.00%","1.53T","0.00"
"Sherwin-Williams","SHW","5.62K","-1.05%","1.50T","1.44K"
"Fiserv","FISV","2.23K","-2.23%","1.49T","100.00"
"Illinois Tool Works","ITW","4.16K","0.00%","1.48T","0.00"
"Coca Cola Femsa L","KOFUBL","87.79","-0.80%","1.48T","2.56M"
"Cognizant A","CTSH","1.49K","0.00%","1.47T","0.00"
"Capital One Financial","COF","3.17K","2.71%","1.44T","1.43K"
"Mitsubishi UFJ Financial ADR","MUFGN","115.49","0.96%","1.42T","25.00"
"Activision Blizzard","ATVI","1.83K","-0.70%","1.42T","24.00"
"Adidas","ADSN","7.00K","1.91%","1.39T","22.00"
"Santander","SAN","78.85","5.13%","1.39T","32.17K"
"VMware","VMW","3.24K","0.00%","1.36T","0.00"
"ABB ADR","ABBN","671.39","0.00%","1.35T","0.00"
"Nintendo","NTDOYN","11.00K","0.00%","1.35T","0.00"
"Bayer","BAYNN","1.37K","-0.66%","1.34T","3.71K"
"MercadoLibre","MELIN","26.40K","0.00%","1.32T","0.00"
"Axa","AXAN","570.19","0.00%","1.31T","0.00"
"Stellantis NV","STLAN","358.50","0.00%","1.30T","0.00"
"Freeport-McMoran","FCX","865.00","2.37%","1.28T","56.35K"
"Atlas Copco A","ACOFN","1.23K","-2.47%","1.27T","1.53K"
"Moderna","MRNA","3.16K","-1.24%","1.27T","6.13K"
"Vinci","DGN","2.27K","0.00%","1.27T","0.00"
"Reckitt Benckiser","RBN","1.78K","0.00%","1.27T","0.00"
"ICE","ICE","2.29K","0.00%","1.25T","0.00"
"Petroleo Brasileiro Petrobras ADR","PBRN","192.11","0.58%","1.25T","3.78K"
"Ecolab","ECL","4.41K","-1.65%","1.25T","25.00"
"Cemex","CEMEXCPO","13.94","1.54%","1.24T","104.50M"
"Southern Copper","SCCO","1.58K","0.00%","1.20T","0.00"
"Glencore","GLENN","80.50","0.00%","1.20T","0.00"
"Northrop Grumman","NOC","7.40K","0.00%","1.19T","0.00"
"Intesa","ISPN","45.81","0.00%","1.18T","0.00"
"Emerson","EMR","1.81K","0.00%","1.13T","0.00"
"BMW","BMWM5N","2.00K","0.00%","1.12T","0.00"
"Vertex","VRTX","4.28K","0.00%","1.11T","0.00"
"Banco Santander Brasil ADR","BSBRN","152.00","0.00%","1.11T","0.00"
"Illumina","ILMN","7.58K","0.00%","1.10T","0.00"
"Edwards Lifesciences","EW","1.78K","-0.71%","1.10T","2.06K"
"Prudential Public ADR","PUKN","863.98","0.00%","1.09T","0.00"
"Wal Mart de Mexico","WALMEX","62.32","0.24%","1.09T","9.13M"
"Itau Unibanco","ITUBN","101.10","0.00%","1.08T","0.00"
"UBS Group","UBSN","312.42","0.00%","1.08T","0.00"
"General Dynamics","GD","3.73K","0.00%","1.07T","0.00"
"Kraft Heinz","KHC","872.00","0.00%","1.06T","0.00"
"NXP","NXPIN","3.87K","0.00%","1.04T","0.00"
"Wal Mart de Mexico","WALMEX","59.68","-0.12%","1.04T","31.18M"
"Ambev SA","ABEVN","66.07","0.52%","1.03T","211.00"
"Twilio","TWLO","5.74K","-3.04%","1.02T","3.71K"
"Nio A ADR","NION","664.00","1.17%","1.02T","148.81K"
"ING ADR","INGN","263.00","0.00%","1.02T","0.00"
"Honda Motor ADR","HMCN","591.01","-4.01%","1.01T","21.00"
"TAL Education","TALN","950.00","0.00%","991.15B","0.00"
"Baidu","BIDUN","3.73K","1.04%","988.90B","620.00"
"EOG Resources","EOG","1.64K","0.00%","982.30B","0.00"
"America Movil A","AMXA","14.81","0.00%","982.16B","0.00"
"Infineon","IFXN","749.58","0.00%","981.53B","0.00"
"América Móvil","AMXL","14.79","0.75%","978.84B","33.52M"
"Ferrari NV","RACEN","3.86K","0.00%","977.70B","0.00"
"Ford Motor","F","239.77","1.92%","959.11B","4.70K"
"Lloyds Banking ADR","LYGN","47.01","0.00%","953.62B","0.00"
"Walgreens Boots","WBA","1.10K","0.61%","945.43B","650.00"
"Schlumberger","SLBN","654.00","0.00%","941.72B","10.00"
"Constellation Brands A","STZ","4.67K","1.02%","922.85B","2.23K"
"América Móvil","AMXL","13.39","-1.11%","920.89B","82.12M"
"Ross Stores","ROST","2.54K","-2.37%","905.78B","2.42K"
"ENI ADR","EN","419.50","0.00%","898.75B","0.00"
"DuPont De Nemours","DD","1.49K","0.00%","897.77B","0.00"
"Barrick Gold","GOLDN","499.75","4.69%","888.02B","22.07K"
"TE Connectivity","TELN","1.82K","0.00%","876.80B","0.00"
"AIG","AIG","1.00K","0.00%","875.28B","0.00"
"Exelon","EXC","886.00","0.57%","871.46B","565.00"
"LM Ericsson B ADR","ERICN","260.00","0.00%","871.37B","0.00"
"Las Vegas Sands","LVS","1.13K","0.00%","857.65B","0.00"
"Barclays ADR","BCSN","201.00","0.00%","851.51B","0.00"
"PPG Industries","PPG","3.57K","0.00%","843.37B","0.00"
"Prudential Financial","PRU","2.08K","0.00%","841.30B","0.00"
"Spotify Tech","SPOTN","4.33K","-1.03%","840.20B","281.00"
"Biogen","BIIB","5.64K","3.65%","834.96B","84.00"
"eBay","EBAY","1.22K","1.71%","831.23B","74.00"
"Twitter Inc","TWTR","1.04K","1.73%","830.33B","4.58K"
"Baxter","BAX","1.70K","0.00%","824.00B","0.00"
"Sempra Energy","SRE","2.70K","0.00%","823.61B","0.00"
"HP Inc","HPQ","652.00","0.77%","814.28B","29.00"
"Centene","CNC","1.40K","2.57%","813.25B","24.00"
"BBVA","BBVA","120.00","-1.23%","801.09B","9.30K"
"Banco Bradesco","BBDN","91.00","0.00%","798.80B","0.00"
"The Travelers","TRV","3.16K","0.00%","797.02B","0.00"
"CRH ADR","CRHN","1.01K","0.00%","791.70B","0.00"
"Gmexico","GMEXICOB","100.33","-0.20%","780.68B","3.76M"
"Gmexico","GMEXICOB","99.33","-0.57%","772.27B","21.97M"
"Veeva Systems A","VEEV","4.89K","-1.75%","746.43B","4.62K"
"Cemex","CEMEXCPO","16.87","1.26%","745.88B","12.36M"
"Corning","GLW","909.00","0.00%","744.10B","0.00"
"Chipotle Mexican Grill","CMG","28.16K","0.00%","741.39B","0.00"
"Engie","ENGIN","306.45","0.00%","738.94B","0.00"
"Southwest Airlines","LUV","1.23K","-1.25%","726.36B","415.00"
"DocuSign","DOCU","3.71K","0.00%","717.70B","20.00"
"ArcelorMittal ADR","MTN","642.26","0.00%","701.91B","0.00"
"Saint Gobain","SGON","1.20K","0.00%","696.89B","0.00"
"Orange ADR","ORANN","252.50","0.00%","682.68B","0.00"
"Hilton Worldwide","HLT","2.44K","0.00%","670.50B","0.00"
"E.ON","EOANN","250.36","0.00%","662.89B","0.00"
"Valero Energy","VLO","1.53K","0.00%","659.87B","0.00"
"Howmet","HWM","623.00","0.00%","639.98B","0.00"
"Nucor","NUE","2.10K","3.04%","629.26B","10.00"
"McKesson","MCK","3.96K","0.75%","623.74B","200.00"
"Capgemini","CAPGN","3.67K","0.74%","621.89B","42.00"
"Deutsche Borse","DB1N","3.38K","0.00%","615.81B","0.00"
"Carnival Corp","CCL1N","545.00","1.03%","615.36B","846.00"
"Best Buy","BBY","2.36K","0.00%","594.85B","0.00"
"Delta Air Lines","DAL","923.70","0.62%","591.45B","821.00"
"Ameriprise Financial","AMP","5.15K","0.00%","589.50B","0.00"
"Deutsche Bank","DBN","280.40","0.00%","581.11B","0.00"
"Magna Intl","MGAN","1.86K","0.00%","578.50B","0.00"
"Xilinx","XLNX","2.66K","0.00%","574.27B","0.00"
"Legrand","LRN","1.37K","0.00%","569.48B","0.00"
"Swiss Re","SRENN","2.10K","0.00%","556.05B","0.00"
"RBC","RYN","1.99K","0.00%","555.00B","0.00"
"Nokia ADR","NOKN","96.01","-1.52%","553.53B","877.00"
"UniCredit","UCGN","223.53","0.00%","552.22B","0.00"
"Synchrony Financial","SYF","926.00","2.66%","539.61B","132.00"
"Société Générale","GLEN","631.68","0.00%","534.47B","0.00"
"Michelin","MLNN","2.97K","0.00%","533.53B","0.00"
"Telefonica ADR","TEFN","94.51","0.00%","532.95B","0.00"
"New Oriental Education&Tech","EDUN","245.22","4.41%","527.67B","9.50K"
"Ecopetrol ADR","ECN","250.00","0.00%","527.04B","0.00"
"Aena","AENAN","3.54K","0.00%","519.01B","0.00"
"Dollar Tree","DLTR","2.17K","-9.73%","507.50B","1.40K"
"Credit Suisse ADR","CSN","207.00","3.50%","506.95B","162.00"
"International Paper","IP","1.25K","0.00%","496.65B","0.00"
"Lennar","LEN","1.94K","-7.97%","477.63B","830.00"
"Canon ADR","CAJN","457.05","0.00%","476.60B","0.00"
"Fresenius Medical Care","FMEN","1.61K","0.00%","474.29B","0.00"
"DISH Network","DISH","791.66","0.00%","471.44B","0.00"
"Martin Marietta Materials","MLM","7.47K","0.00%","463.88B","0.00"
"Western Digital","WDC","1.49K","8.57%","463.20B","24.00"
"MetLife","MET","1.31K","0.00%","443.42B","0.00"
"Ferrovial","FERN","599.10","0.00%","437.57B","0.00"
"Royal Caribbean Cruises","RCL","1.68K","0.66%","425.66B","807.00"
"Hewlett Packard","HPE","321.00","0.00%","425.65B","0.00"
"Teladoc Inc","TDOC","2.70K","1.47%","419.81B","184.00"
"Xylem","XYL","2.03K","0.00%","418.55B","0.00"
"Halliburton","HAL","455.00","0.00%","418.46B","34.00"
"Siemens Gamesa","SGREN","270.87","0.00%","416.26B","0.00"
"China Unicom Hong Kong ADR","CHUN","145.78","0.00%","412.40B","0.00"
"Elektra","ELEKTRA","1.61K","-0.08%","395.43B","67.51K"
"Exor","EXO1N","1.68K","0.00%","379.02B","0.00"
"Cooper","COO","7.81K","0.00%","377.40B","0.00"
"MGM","MGM","757.55","-2.25%","375.95B","388.00"
"Albemarle","ALB","3.12K","0.00%","364.27B","0.00"
"Devon Energy","DVN","540.00","3.92%","364.02B","5.17K"
"Raymond James Financial","RJF","1.71K","0.00%","363.98B","0.00"
"Financiero Banorte","GFNORTEO","125.90","1.99%","363.20B","4.67M"
"United Airlines Holdings","UAL","1.12K","2.59%","362.04B","321.80K"
"Telefonica Brasil SA","VIVN","266.96","0.00%","354.30B","0.00"
"Teck Resources B","TECKN","523.50","3.14%","353.02B","292.00"
"Symrise AG","SY1N","2.53K","0.00%","342.53B","0.00"
"Elektra","ELEKTRA","1.39K","0.29%","340.91B","120.60K"
"Carrefour","CAN","417.20","2.38%","335.87B","16.81K"
"Erste Bank","EBON","755.94","0.00%","328.84B","0.00"
"Masco","MAS","1.27K","0.00%","320.29B","0.00"
"Check Point Software","CHKPN","2.36K","0.00%","312.91B","0.00"
"Textron","TXT","1.33K","0.00%","304.86B","0.00"
"Financiero Banorte","GFNORTEO","105.06","1.02%","302.88B","10.21M"
"PulteGroup","PHM","1.08K","0.00%","301.61B","0.00"
"Westinghouse Air Brake","WAB","1.54K","0.00%","300.54B","0.00"
"American Airlines","AAL","461.49","4.12%","296.04B","16.81K"
"Ryanair ADR","RYAAYN","2.33K","0.00%","290.21B","0.00"
"Ryanair","RYAN","361.45","0.00%","290.17B","0.00"
"Citrix Systems","CTXS","2.33K","0.00%","287.01B","0.00"
"Wynn Resorts","WYNN","2.44K","-2.43%","285.33B","1.29K"
"Koninklijke KPN","KPNN","69.45","0.00%","285.01B","0.00"
"Aluminum China ADR","ACHN","270.00","0.00%","280.78B","0.00"
"Mosaic","MOS","673.95","0.00%","278.38B","0.00"
"Tenaris","TS","230.50","0.00%","278.14B","0.00"
"Steel Dynamics","STLD","1.28K","0.03%","269.62B","1.06K"
"Gap","GPS","715.23","1.45%","269.39B","75.00"
"Mtu Aero Engines Holding AG","MTXN","4.89K","0.00%","268.11B","0.00"
"Aeroports Paris","ADPN","2.46K","0.00%","265.54B","0.00"
"KB Financial","KBN","1.05K","0.00%","264.62B","0.00"
"RH","RH","12.55K","-0.71%","263.00B","15.00"
"Shinhan","SHGN","739.64","0.00%","259.68B","0.00"
"Grifols Pref","GRFPN","365.70","0.00%","253.07B","0.00"
"SID Nacional ADR","SIDN","194.00","0.00%","250.69B","0.00"
"Allegion PLC","ALLEN","2.64K","0.00%","247.24B","0.00"
"Newell Brands","NWL","381.00","0.00%","246.80B","0.00"
"ABIOMED","ABMD","5.48K","0.00%","239.92B","0.00"
"Autohome ADR","ATHMN","1.90K","0.00%","239.48B","0.00"
"Teva ADR","TEVAN","204.00","0.00%","228.11B","0.00"
"Credicorp","BAPN","2.83K","0.00%","226.88B","0.00"
"Lear","LEA","2.72K","0.00%","220.04B","0.00"
"Kingfisher","KGFN","101.83","0.00%","217.59B","0.00"
"Norwegian Cruise Line","NCLHN","568.89","-0.07%","211.31B","2.95K"
"IPG Photonics","IPGP","3.84K","0.00%","208.12B","0.00"
"Bausch Health","BHCN","568.41","0.73%","207.34B","7.00"
"Cleveland-Cliffs","CLF","411.00","8.27%","206.34B","721.00"
"Western Union","WU","482.00","0.00%","201.47B","0.00"
"Kohls Corp","KSS","1.26K","8.87%","199.83B","208.50K"
"Accor","ACCN","791.18","0.00%","199.73B","0.00"
"Siemens","SIEN","3.47K","0.00%","198.05B","0.00"
